Handle,Title,Body HTML,Collection Type,Published,Sort Order,Tags,Parent
clothing,Clothing,Discover premium clothing with fast shipping and easy returns.,manual,TRUE,best-selling,,
electronics,Electronics,New arrivals in electronics — updated weekly for our Shopify store.,manual,TRUE,best-selling,,
home-garden,Home & Garden,Best-selling home & garden for online shoppers — quality you can trust.,manual,TRUE,best-selling,,
sports-outdoors,Sports & Outdoors,Discover premium sports & outdoors with fast shipping and easy returns.,manual,TRUE,best-selling,,
beauty-personal-care,Beauty & Personal Care,"Affordable beauty & personal care designed for comfort, style, and durability.",manual,TRUE,best-selling,,
toys-games,Toys & Games,"Affordable toys & games designed for comfort, style, and durability.",manual,TRUE,best-selling,,
books-media,Books & Media,Browse books & media from trusted brands in our catalog.,manual,TRUE,best-selling,,
automotive,Automotive,"Affordable automotive designed for comfort, style, and durability.",manual,TRUE,best-selling,,
pet-supplies,Pet Supplies,Explore top-rated pet supplies at competitive prices.,manual,TRUE,best-selling,,
office-supplies,Office Supplies,Limited-time deals on popular office supplies items.,manual,TRUE,best-selling,,
health-wellness,Health & Wellness,Limited-time deals on popular health & wellness items.,manual,TRUE,best-selling,,
jewelry-watches,Jewelry & Watches,Best-selling jewelry & watches for online shoppers — quality you can trust.,manual,TRUE,best-selling,,
baby-kids,Baby & Kids,Limited-time deals on popular baby & kids items.,manual,TRUE,best-selling,,
food-beverages,Food & Beverages,"Affordable food & beverages designed for comfort, style, and durability.",manual,TRUE,best-selling,,
furniture,Furniture,Shop our curated selection of furniture for everyday use and special occasions.,manual,TRUE,best-selling,,
tools-hardware,Tools & Hardware,Explore top-rated tools & hardware at competitive prices.,manual,TRUE,best-selling,,
arts-crafts,Arts & Crafts,"Affordable arts & crafts designed for comfort, style, and durability.",manual,TRUE,best-selling,,
musical-instruments,Musical Instruments,Browse musical instruments from trusted brands in our catalog.,manual,TRUE,best-selling,,
travel-luggage,Travel & Luggage,Shop our curated selection of travel & luggage for everyday use and special occasions.,manual,TRUE,best-selling,,
shoes-footwear,Shoes & Footwear,Browse shoes & footwear from trusted brands in our catalog.,manual,TRUE,best-selling,,
men-s-t-shirts,Men's T-Shirts,Explore top-rated men's t-shirts at competitive prices.,manual,TRUE,best-selling,parent:clothing,Clothing
