ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
,simple,woo-import-0001,NorthPeak Signature Mens T-Shirts 238S77,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.91,19,9,2,1,,,131.84,Clothing > Mens T-Shirts,,,,,,,,,,,,
,simple,woo-import-0002,PeakFlow Studio Womens Dresses 285B56,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,0.83,5,9,1,1,,,191.45,Clothing > Womens Dresses,,,,,,,,,,,,
,simple,woo-import-0003,TrueForm Heritage Kids Hoodies 465S18,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.04,13,11,5,1,,,170.83,Clothing > Kids Hoodies,,,,,,,,,,,,
,simple,woo-import-0004,PrimeHome Studio Activewear 779A40,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,5.43,19,9,3,1,,,237.46,Clothing > Activewear,,,,,,,,,,,,
,simple,woo-import-0005,CoreVibe Classic Smartphones 166O90,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.61,16,4,4,1,,,218.48,Electronics > Smartphones,,,,,,,,,,,,
,simple,woo-import-0006,PrimeHome Ultra Laptops 654Q74,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.08,4,9,7,1,,,247.99,Electronics > Laptops,,,,,,,,,,,,
,simple,woo-import-0007,TrueForm Pro Tablets 356U86,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.38,8,13,7,1,,,145.69,Electronics > Tablets,,,,,,,,,,,,
,simple,woo-import-0008,AeroWear Classic Headphones 124Y80,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.20,4,9,4,1,,,817.41,Electronics > Headphones,,,,,,,,,,,,
,simple,woo-import-0009,SwiftPack Ultra Kitchen Appliances 497T94,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.73,20,4,6,1,,,188.61,Home and Garden > Kitchen Appliances,,,,,,,,,,,,
,simple,woo-import-0010,UrbanEdge Pro Bedding 678R19,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.03,16,10,1,1,,,57.89,Home and Garden > Bedding,,,,,,,,,,,,
