name,slug,description,parent
Clothing,clothing,Limited-time deals on popular clothing items.,
Electronics,electronics,New arrivals in electronics — updated weekly for our WooCommerce store.,
Home & Garden,home-garden,Limited-time deals on popular home & garden items.,
Sports & Outdoors,sports-outdoors,Limited-time deals on popular sports & outdoors items.,
Beauty & Personal Care,beauty-personal-care,New arrivals in beauty & personal care — updated weekly for our WooCommerce store.,
Toys & Games,toys-games,Limited-time deals on popular toys & games items.,
Books & Media,books-media,Limited-time deals on popular books & media items.,
Automotive,automotive,"Affordable automotive designed for comfort, style, and durability.",
Pet Supplies,pet-supplies,Limited-time deals on popular pet supplies items.,
Office Supplies,office-supplies,Browse office supplies from trusted brands in our catalog.,
Health & Wellness,health-wellness,Best-selling health & wellness for online shoppers — quality you can trust.,
Jewelry & Watches,jewelry-watches,Limited-time deals on popular jewelry & watches items.,
Baby & Kids,baby-kids,Explore top-rated baby & kids at competitive prices.,
Food & Beverages,food-beverages,"Affordable food & beverages designed for comfort, style, and durability.",
Furniture,furniture,Browse furniture from trusted brands in our catalog.,
Tools & Hardware,tools-hardware,"Affordable tools & hardware designed for comfort, style, and durability.",
Arts & Crafts,arts-crafts,Best-selling arts & crafts for online shoppers — quality you can trust.,
Musical Instruments,musical-instruments,Limited-time deals on popular musical instruments items.,
Travel & Luggage,travel-luggage,"Affordable travel & luggage designed for comfort, style, and durability.",
Shoes & Footwear,shoes-footwear,Explore top-rated shoes & footwear at competitive prices.,
Men's T-Shirts,men-s-t-shirts,"Affordable men's t-shirts designed for comfort, style, and durability.",Clothing
Women's Dresses,women-s-dresses,Best-selling women's dresses for online shoppers — quality you can trust.,Clothing
Kids Hoodies,kids-hoodies,"Affordable kids hoodies designed for comfort, style, and durability.",Clothing
Activewear,activewear,Explore top-rated activewear at competitive prices.,Clothing
Smartphones,smartphones,Discover premium smartphones with fast shipping and easy returns.,Electronics
Laptops,laptops,"Affordable laptops designed for comfort, style, and durability.",Electronics
Tablets,tablets,New arrivals in tablets — updated weekly for our WooCommerce store.,Electronics
Headphones,headphones,Discover premium headphones with fast shipping and easy returns.,Electronics
Kitchen Appliances,kitchen-appliances,Browse kitchen appliances from trusted brands in our catalog.,Home & Garden
Bedding,bedding,Discover premium bedding with fast shipping and easy returns.,Home & Garden
Bathroom Accessories,bathroom-accessories,Shop our curated selection of bathroom accessories for everyday use and special occasions.,Home & Garden
Lighting,lighting,Explore top-rated lighting at competitive prices.,Home & Garden
Camping Gear,camping-gear,Browse camping gear from trusted brands in our catalog.,Sports & Outdoors
Cycling,cycling,Best-selling cycling for online shoppers — quality you can trust.,Sports & Outdoors
Fitness Equipment,fitness-equipment,Best-selling fitness equipment for online shoppers — quality you can trust.,Sports & Outdoors
Team Sports,team-sports,Shop our curated selection of team sports for everyday use and special occasions.,Sports & Outdoors
Skincare,skincare,Explore top-rated skincare at competitive prices.,Beauty & Personal Care
Makeup,makeup,Limited-time deals on popular makeup items.,Beauty & Personal Care
Hair Care,hair-care,Best-selling hair care for online shoppers — quality you can trust.,Beauty & Personal Care
